tweet,emoji,text,compound,sentiment
"I'll give you my number, when you text me, I block you😂",😂,"I'll give you my number, when you text me, I block you",-0.3818,negative
🤣🤣🤣 I approve.,🤣🤣🤣, I approve.,0.0,neutral
Herb’s been a daddy for less than a week &amp; he’s already Daddy of the Year 🏆😂😂😂😂😂😂😂😂,🏆😂😂😂😂😂😂😂😂,Herb’s been a daddy for less than a week &amp; he’s already Daddy of the Year ,0.0,neutral
Fake news about the demands is now cleared don't miss the show guys 🕺💃,🕺💃,Fake news about the demands is now cleared don't miss the show guys ,-0.3085,negative
Keep trying 😂,😂,Keep trying ,0.0,neutral
I love me a bitch everybody don’t like. 😂🤷🏽‍♀️,😂🤷🏽♀,I love me a bitch everybody don’t like. ‍️,0.4404,positive
🖤Loving this weather🖤,🖤🖤,Loving this weather,0.5994,positive
and the V is for VERSATILE. ✌🏾,✌🏾,and the V is for VERSATILE. ,0.0,neutral
Just when you thought you have seen it all 😂😂😂,😂😂😂,Just when you thought you have seen it all ,0.0,neutral
7 princes on the stage 😂😂😍😍,😂😂😍😍,7 princes on the stage ,0.0,neutral
Y'all my cousin sent me this video and I'm crying 😂😭,😂😭,Y'all my cousin sent me this video and I'm crying ,-0.4767,negative
📸 | Photocards — Fanmeeting Happy Ever After en Japón ♡ (Jimin) 🐥 Cr. 什么都有_   |,📸🐥, | Photocards — Fanmeeting Happy Ever After en Japón ♡ (Jimin)  Cr. 什么都有_   |,0.5719,positive
The new AMG GLC is maaad. 😍,😍,The new AMG GLC is maaad. ,0.0,neutral
I haven’t worn a romper uniform in so long and now they telling us that we have to wear them next year and I’m not having it 🤦🏻‍♀️😒,🤦🏻♀😒,I haven’t worn a romper uniform in so long and now they telling us that we have to wear them next year and I’m not having it ‍️,-0.296,negative
🐪 Uh oh...,🐪, Uh oh...,0.0,neutral
Private school for all Dem babies now they straight nigga 👏,👏,Private school for all Dem babies now they straight nigga ,0.2263,positive
“Wowwww so you just gone hang up?” 😂😂,😂😂,“Wowwww so you just gone hang up?” ,0.0,neutral
You gotta see how much u mean to me... Now Stop Running Let Me Show You 💯,💯,You gotta see how much u mean to me... Now Stop Running Let Me Show You ,-0.296,negative
Factssssssss 😂🤷🏻‍♀️ they gone learn our niggas ain’t shit one day 💀💀💀 stupid ass “ ima talk to him you g…,😂🤷🏻♀💀💀💀,Factssssssss ‍️ they gone learn our niggas ain’t shit one day  stupid ass “ ima talk to him you g…,-0.9169,negative
New endorsement for the birthday girl 🌸💕 DERUCCI CONTRACT SIGNING  (from edith.farinas…,🌸💕,New endorsement for the birthday girl  DERUCCI CONTRACT SIGNING  (from edith.farinas…,0.3182,positive
girl crush everyday 🔥,🔥,girl crush everyday ,-0.1531,negative
Bro twitter be having me weak at night 💀,💀,Bro twitter be having me weak at night ,-0.4404,negative
thank you 🤗,🤗,thank you ,0.3612,positive
i want him 😩,😩,i want him ,0.0772,positive
UBER EVERYWHERE 🚗🌒,🚗🌒,UBER EVERYWHERE ,0.0,neutral
GRAND. SLAM. 🗣️ clears 'em up in style! 6-0.,🗣,GRAND. SLAM. ️ clears 'em up in style! 6-0.,0.2481,positive
dong sicheng — ｎｃｔ 🍓,🍓,dong sicheng — ｎｃｔ ,0.0,neutral
"dont read the comments bro, just hit me after u watch and tell me what u think 🧐",🧐,"dont read the comments bro, just hit me after u watch and tell me what u think ",0.0,neutral
"Congratulations, 👏👏👏",👏👏👏,"Congratulations, ",0.5994,positive
📹: little_milo_munchkin,📹,: little_milo_munchkin,0.0,neutral
THEY LOOK SO FUKIN CUTE HOLD ME😊😊💕🔥,😊😊💕🔥,THEY LOOK SO FUKIN CUTE HOLD ME,0.507,positive
sssoooo i just found out ill b off work when is in OKC 😩😍 we in therrrrre!,😩😍,sssoooo i just found out ill b off work when is in OKC  we in therrrrre!,-0.4753,negative
Thank you!! 😊,😊,Thank you!! ,0.4738,positive
Look at the reactions from Jcole’s listening party😭,😭,Look at the reactions from Jcole’s listening party,0.4019,positive
we love you!!💛,💛,we love you!!,0.6988,positive
I gave up on them and then here they are 😂,😂,I gave up on them and then here they are ,0.0,neutral
200+ actives real quick!! 👉 Retweet 👉 Follow everyone 👉 Follow back  🔥🔥,👉👉👉🔥🔥,200+ actives real quick!!  Retweet  Follow everyone  Follow back  ,0.3987,positive
Retweet in 5 seconds for some good luck 😋😁,😋😁,Retweet in 5 seconds for some good luck ,0.7096,positive
It looks so good!! Downloading the app now to give it a go! 💖💖,💖💖,It looks so good!! Downloading the app now to give it a go! ,0.6826,positive
Ughh. I deserve this ❤️￼,❤,Ughh. I deserve this ️￼,0.0,neutral
😂😂😂 Non of us have it,😂😂😂, Non of us have it,0.0,neutral
📅 Days Spent Top of 🔵 This Season: 242 🔴 Since 2012/13: 241,📅🔵🔴, Days Spent Top of  This Season: 242  Since 2012/13: 241,0.2023,positive
180418 BTS Japan Official Fan-Meeting Vol.4 ~Happy Ever After~ Ending Ment 🌸,🌸,180418 BTS Japan Official Fan-Meeting Vol.4 ~Happy Ever After~ Ending Ment ,0.0,neutral
Started with no players now we here 😎,😎,Started with no players now we here ,-0.296,negative
Only 90’s babies will understand this😂,😂,Only 90’s babies will understand this,0.0,neutral
That man stayed in the gym lol he’s trash now 😂😂😂😂,😂😂😂😂,That man stayed in the gym lol he’s trash now ,0.4215,positive
"U gonna play ya self , tryna play me . 🤷🏽‍♂️",🤷🏽♂,"U gonna play ya self , tryna play me . ‍️",0.5859,positive
Y’all be getting some ugly ass tattoos 🤢 and it don’t even be looking right. Lines be all types of fucked up and crooked 😭,🤢😭,Y’all be getting some ugly ass tattoos  and it don’t even be looking right. Lines be all types of fucked up and crooked ,-0.9042,negative
Good morning South Africa😭😭😭,😭😭😭,Good morning South Africa,0.4404,positive
Nooooooo😭😭 I guess I’ll enjoy it while I can😅😊,😭😭😅😊,Nooooooo I guess I’ll enjoy it while I can,0.4939,positive
No funny I’ll spank out lil tay an woah Vicky 😂 🤷🏾‍♀️,😂🤷🏾♀,No funny I’ll spank out lil tay an woah Vicky  ‍️,0.1779,positive
ohmygod im screaming taeyong was laughing in between 😂,😂,ohmygod im screaming taeyong was laughing in between ,0.1531,positive
*serious voice* it’s....highkey wild how much I’ve grown as a person since I left The Swamp™️,™,*serious voice* it’s....highkey wild how much I’ve grown as a person since I left The Swamp️,0.0,neutral
I need some new friends smh 💔,💔,I need some new friends smh ,0.2023,positive
Girl Bey BEEN pregnant for about 10 yrs 🙄...they are truly ignorant as hell,🙄,Girl Bey BEEN pregnant for about 10 yrs ...they are truly ignorant as hell,-0.5859,negative
THE CHOREO FOR LET GO!! IM SPEECHLESS!! IM CRYING!!   ©12v30th,©,THE CHOREO FOR LET GO!! IM SPEECHLESS!! IM CRYING!!   12v30th,-0.7185,negative
Pogba once again at walking pace. So passed off with that bloke 😡,😡,Pogba once again at walking pace. So passed off with that bloke ,0.0,neutral
Ve ve ve  👑,👑,Ve ve ve  ,0.0,neutral
We were happy to wake up and see a cool Snovio review on Youtube channel! Check it out 😍 …,😍,We were happy to wake up and see a cool Snovio review on Youtube channel! Check it out  …,0.7424,positive
Try not to tear up. 😢,😢,Try not to tear up. ,0.0,neutral
That’s law 🤷🏾‍♂️,🤷🏾♂,That’s law ‍️,0.0,neutral
Two days my people! Tell someone else about it! I’m excited!  🙏🏾🌹❤️,🙏🏾🌹❤,Two days my people! Tell someone else about it! I’m excited!  ️,0.5067,positive
"Pray, pray, pray!! That’s all I can do😢",😢,"Pray, pray, pray!! That’s all I can do",0.7568,positive
